id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44431298,Logement entier lumineux - Villeray / Jean Talon,84460831,Mélina,,Villeray-Saint-Michel-Parc-Extension,45.54293,-73.62032,Entire home/apt,36,7,0,,,1,0,0,
44432752,LUXURIOUS & HIGH-END - Sleeps 8 - Top Location,8414446,Artie,,Le Plateau-Mont-Royal,45.52415,-73.58114,Entire home/apt,210,1,14,2021-08-24,2.51,9,47,14,
44433185,"The Concordia - 2 BR, 2 baths,  modern Downtown",118132081,Maria,,Ville-Marie,45.49602,-73.58261,Entire home/apt,65,7,13,2021-07-01,1.03,2,0,1,
44433858,Cozy room !! Great location!!,57038009,Lisa,,Verdun,45.44883,-73.58243,Private room,22,60,2,2021-08-16,0.56,3,134,2,
44457836,Family apartment with courtyard,17291776,Romain & Laurianne,,Rosemont-La Petite-Patrie,45.53525,-73.60994,Entire home/apt,125,1,1,2020-09-08,0.07,1,0,0,
44458743,Une chambre cosy en plein coeur du plateau !,25344818,Gwenhaelle,,Le Plateau-Mont-Royal,45.53485,-73.56801,Private room,45,2,7,2021-09-11,0.56,1,34,6,
44460256,Nice location to live,92066033,Min,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49381,-73.61334,Entire home/apt,80,120,0,,,1,358,0,
44460650,Cosy & Calm / Metro Rosemont / Netflix + 50'' TV,92869666,Mok,,Rosemont-La Petite-Patrie,45.53694,-73.59553,Entire home/apt,40,5,16,2021-06-30,1.17,1,0,14,
44473649,La joie,124060044,Wana,,Ville-Marie,45.49418,-73.5801,Entire home/apt,122,1,25,2021-09-12,3.10,4,353,24,
44475405,Rez-de-chaussée Avec Jardin à Verdun,125032728,Julie,,Verdun,45.45982,-73.56453,Entire home/apt,65,7,0,,,10,246,0,
